original,recovered
-0.3637,-0.40277901462535126
-0.375,-0.4148452163053862
-0.3861,-0.42668065862584903
-0.3971,-0.43828805337976884
-0.4079,-0.4496700837537907
-0.4184,-0.4608293950679565
-0.4288,-0.4717685858369939
-0.439,-0.4824901991669417
-0.4491,-0.49299671450032434
-0.459,-0.5032905397224372
-0.4687,-0.5133740036405787
-0.4782,-0.5232493488474537
-0.4876,-0.5329187249792089
-0.4968,-0.5423841823778631
-0.5058,-0.5516476661671597
-0.5148,-0.5607110107501369
-0.5235,-0.569575934735935
-0.5321,-0.5782440363026206
-0.5406,-0.5867167890020016
-0.5489,-0.5949955380116685
-0.5571,-0.6030814968386784
-0.5652,-0.6109757444785061
-0.5731,-0.6186792230321209
-0.5809,-0.6261927357832092
-0.5886,-0.6335169457368047
-0.5961,-0.6406523746197312
-0.6035,-0.647599402342533
-0.6108,-0.6543582669217021
-0.6179,-0.660929064860267
-0.6249,-0.6673117519839792
-0.6318,-0.6735061447295763
-0.6386,-0.6795119218808121
-0.6452,-0.6853286267471429
-0.6518,-0.6909556697792621
-0.6582,-0.6963923316148501
-0.6644,-0.7016377665472227
-0.6706,-0.7066910064087744
-0.6766,-0.7115509648604658
-0.6825,-0.7162164420778325
-0.6882,-0.7206861298233526
-0.6938,-0.7249586168943166
-0.6993,-0.7290323949347027
-0.7047,-0.7329058645989157
-0.7099,-0.7365773420546238
-0.7149,-0.7400450658113593
-0.7199,-0.7433072038609472
-0.7247,-0.7463618611152874
-0.7293,-0.7492070871264588
-0.7338,-0.7518408840736637
-0.7381,-0.7542612150009794
-0.7423,-0.756466012289468
-0.7463,-0.7584531863467561
-0.7502,-0.7602206344967888
-0.7539,-0.7617662500520693
-0.7574,-0.7630879315503606
-0.7608,-0.7641835921374986
-0.764,-0.7650511690776698
-0.767,-0.7656886333722389
-0.7698,-0.7660939994679596
-0.7724,-0.7662653350352435
-0.7748,-0.7662007707969228
-0.7771,-0.7658985103878395
-0.7791,-0.7653568402254672
-0.781,-0.7645741393716764
-0.7826,-0.7635488893657182
-0.784,-0.7622796840084775
-0.7853,-0.7607652390780175
-0.7863,-0.7590044019565438
-0.787,-0.7569961611489514
-0.7876,-0.7547396556731989
-0.7879,-0.7522341843029416
-0.788,-0.7494792146429703
-0.7879,-0.7464743920182421
-0.7875,-0.7432195481574946
-0.7869,-0.739714709652671
-0.786,-0.7359601061757217
-0.7849,-0.731956178434638
-0.7836,-0.7277035858509002
-0.782,-0.7232032139409379
-0.7801,-0.7184561813845827
-0.778,-0.7134638467639179
-0.7757,-0.7082278149564208
-0.773,-0.7027499431667392
-0.7702,-0.6970323465819774
-0.767,-0.691077403635918
-0.7636,-0.6848877608681379
-0.76,-0.6784663373645803
-0.756,-0.6718163287667612
-0.7518,-0.6649412108373891
-0.7474,-0.6578447425708843
-0.7427,-0.6505309688379026
-0.7377,-0.6430042225536732
-0.7324,-0.6352691263607214
-0.7269,-0.6273305938172131
-0.7212,-0.6191938300829242
-0.7151,-0.6108643320956302
-0.7089,-0.6023478882314465
-0.7023,-0.5936505774434649
-0.6956,-0.5847787678738379
-0.6885,-0.5757391149352359
-0.6813,-0.5665385588584995
-0.6738,-0.5571843217040772
-0.666,-0.547683903835692
-0.6581,-0.5380450798555757
-0.6499,-0.5282758940013951
-0.6414,-0.5183846550058953
-0.6328,-0.5083799304211428
-0.624,-0.49827054041009494
-0.6149,-0.4880655510090932
-0.6057,-0.4777742668657663
-0.5962,-0.4674062234576257
-0.5866,-0.4569711787975771
-0.5768,-0.4464791046333565
-0.5668,-0.43594017714875755
-0.5566,-0.42536476717541577
-0.5463,-0.4147634299246592
-0.5359,-0.404146894249812
-0.5253,-0.3935260514501552
-0.5146,-0.3829119436285129
-0.5038,-0.372315751615249
-0.4928,-0.36174878247222597
-0.4818,-0.35122245659101387
-0.4706,-0.3407482944004271
-0.4594,-0.3303379026991503
-0.4481,-0.32000296062991146
-0.4368,-0.3097552053123934
-0.4254,-0.2996064171527029
-0.4139,-0.28956840484786345
-0.4025,-0.2796529901044366
-0.391,-0.269871992090935
-0.3795,-0.26023721164431013
-0.368,-0.2507604152513201
-0.3565,-0.24145331882608423
-0.3451,-0.2323275713056363
-0.3337,-0.22339473808579113
-0.3224,-0.2146662843200025
-0.3111,-0.206153558104344
-0.2999,-0.19786777357208968
-0.2888,-0.18981999392175108
-0.2777,-0.18202111440271948
-0.2668,-0.174481845282899
-0.256,-0.16721269482302015
-0.2454,-0.1602239522825319
-0.2349,-0.15352567098212294
-0.2245,-0.14712765144803908
-0.2144,-0.14103942466355224
-0.2044,-0.1352702354529417
-0.1946,-0.1298290260234392
-0.185,-0.12472441969051445
-0.1756,-0.1199647048119231
-0.1664,-0.11555781895586403
-0.1575,-0.11151133332843403
-0.1489,-0.10783243748545038
-0.1404,-0.1045279243535598
-0.1323,-0.10160417558534793
-0.1244,-0.09906714727283802
-0.1168,-0.0969223560435662
-0.1095,-0.09517486556305019
-0.1026,-0.09382927346716691
-0.0959,-0.09288969874748154
-0.0895,-0.09235976961223413
-0.0835,-0.09224261184514326
-0.0778,-0.09254083768380233
-0.0725,-0.09325653523880029
-0.0675,-0.09439125847420698
-0.0628,-0.09594601776948575
-0.0585,-0.09792127108221221
-0.0546,-0.10031691573038731
-0.0511,-0.1031322808123894
-0.0479,-0.10636612028197368
-0.0451,-0.11001660669487556
-0.0427,-0.11408132564294737
-0.0406,-0.11855727089082402
-0.039,-0.12344084022935398
-0.0377,-0.12872783205921878
-0.0369,-0.13441344271723277
-0.0364,-0.140492264556921
-0.0363,-0.14695828479410744
-0.0366,-0.1538048851272935
-0.0373,-0.16102484214156954
-0.0384,-0.1686103285039815
-0.0399,-0.17655291495712777
-0.0417,-0.18484357311684108
-0.0439,-0.19347267907878363
-0.0466,-0.2024300178376981
-0.0495,-0.21170478852207142
-0.0529,-0.22128561044582407
-0.0566,-0.23116052997769543
-0.0606,-0.24131702822778345
-0.0651,-0.2517420295496744
-0.0698,-0.262421910855541
-0.0749,-0.27334251174044866
-0.0803,-0.28448914541097114
-0.086,-0.2958466104122499
-0.092,-0.30739920314641467
-0.0984,-0.31913073117419777
-0.105,-0.3310245272905783
-0.1118,-0.34306346436409507
-0.119,-0.35522997092841624
-0.1264,-0.36750604751373495
-0.134,-0.3798732837044252
-0.1419,-0.3923128759083431
-0.1499,-0.4048056458221808
-0.1582,-0.417332059576183
-0.1666,-0.4298722475405071
-0.1752,-0.44240602477462265
-0.184,-0.45491291210001006
-0.1929,-0.46737215777558094
-0.2019,-0.47976275975420546
-0.211,-0.49206348849790515
-0.2202,-0.5042529103282963
-0.2294,-0.5163094112879791
-0.2387,-0.5282112214878416
-0.2481,-0.5399364399142843
-0.2574,-0.551463059669631
-0.2668,-0.5627689936182471
-0.2761,-0.5738321004101508
-0.2853,-0.5846302108531308
-0.2945,-0.5951411546037937
-0.3037,-0.6053427871472952
-0.3127,-0.615213017034862
-0.3216,-0.6247298333477488
-0.3303,-0.6338713333556043
-0.3389,-0.6426157503368215
-0.3473,-0.6509414815279762
-0.3555,-0.6588271161690189
-0.3635,-0.6662514636104732
-0.3712,-0.673193581448623
-0.3787,-0.6796328036543475
-0.3858,-0.6855487686609768
-0.3927,-0.6909214473763338
-0.3993,-0.6957311710839811
-0.4055,-0.6999586591985687
-0.4113,-0.7035850468400086
-0.4168,-0.706591912191276
-0.4219,-0.7089613036045295
-0.4265,-0.7106757664203843
-0.4307,-0.7117183694651649
-0.4345,-0.7120727311911881
-0.4377,-0.7117230454252055
-0.4405,-0.710654106690487
-0.4428,-0.7088513350681528
-0.4446,-0.7063008005637628
-0.4458,-0.7029892469454988
-0.4464,-0.6989041150207066
-0.4465,-0.6940335653179172
-0.446,-0.6883665001420737
-0.4449,-0.6818925849711257
-0.4432,-0.6746022691627787
-0.4408,-0.6664868059407648
-0.4379,-0.6575382716306836
-0.4342,-0.6477495841161462
-0.4299,-0.6371145204866797
-0.425,-0.6256277338496712
-0.4193,-0.613284769279373
-0.413,-0.6000820788769186
-0.4059,-0.5860170359161234
-0.3982,-0.5710879480508562
-0.3897,-0.555294069560595
-0.3806,-0.538635612611944
-0.3707,-0.5211137575147569
-0.36,-0.5027306619527129
-0.3487,-0.48348946916917723
-0.3366,-0.46339431509033
-0.3238,-0.44245033436877157
-0.3102,-0.42066366533187016
-0.2959,-0.3980414538204099
-0.2809,-0.37459185590427024
-0.2651,-0.3503240394631961
-0.2486,-0.3252481846218783
-0.2314,-0.2993754830299795
-0.2134,-0.2727181359789438
-0.1948,-0.24528935134885188
-0.1754,-0.21710333937987192
-0.1554,-0.18817530726421805
-0.1346,-0.15852145255593664
-0.1132,-0.12815895539718658
-0.091,-0.09710596956112882
-0.0683,-0.06538161231283057
-0.0449,-0.03300595309113363
-0.0208,-1.0157618079986719e-09
0.0039,0.03361430877461613
0.0292,0.06781412994628033
0.055,0.10257572094769973
0.0815,0.1378744621302146
0.1085,0.17368487400081656
0.136,0.20998063659418686
0.1641,0.24673460994992613
0.1926,0.28391885567935615
0.2217,0.32150465960504926
0.2512,0.35946255545471895
0.2811,0.3977623495899296
0.3114,0.4363731467486204
0.3421,0.4752633767791733
0.3732,0.5144008223424935
0.4045,0.5537526475572258
0.4362,0.5932854275620463
0.4682,0.6329651789677067
0.5004,0.6727573911703467
0.5329,0.712627058496312
0.5655,0.7525387131477653
0.5983,0.7924564589170786
0.6312,0.8323440056369624
0.6643,0.872164704332354
0.6973,0.9118815830389129
0.7305,0.9514573832520862
0.7636,0.9908545969697554
0.7967,1.030035504290594
0.8298,1.0689622115293074
0.8627,1.1075966898092897
0.8955,1.1459008140922489
0.9282,1.1838364026037878
0.9607,1.2213652566131257
0.9929,1.2584492005245835
1.0248,1.2950501222378183
1.0565,1.3311300137331925
1.0878,1.3666510118383246
1.1188,1.4015754391312356
1.1494,1.4358658449351842
1.1795,1.4694850463599525
1.2091,1.5023961693440413
1.2382,1.5345626896518907
1.2668,1.5659484737801963
1.2948,1.5965178197271395
1.3222,1.6262354975782587
1.349,1.6550667898627625
1.3751,1.6829775316339526
1.4004,1.7099341502275744
1.4251,1.7359037046520704
1.4489,1.7608539245648118
1.4719,1.7847532487886537
1.4941,1.8075708633234335
1.5154,1.8292767388074176
1.5359,1.8498416673840352
1.5553,1.8692372989296857
1.5739,1.8874361765989411
1.5914,1.904411771644058
1.6079,1.9201385174661687
1.6234,1.9345918428563411
1.6378,1.9477482043853125
1.6512,1.9595851179014754
1.6634,1.970081189097544
1.6744,1.97921614310711
1.6843,1.9869708530932462
1.6931,1.993327367792309
1.7006,1.998268937977023
1.7069,2.0017800418039475
1.7119,2.003846409011641
1.7157,2.0044550439368667
1.7182,2.003594247317361
1.7194,2.001253636850945
1.7193,1.997424166481982
1.7179,1.9920981443875023
1.7152,1.9852692496366027
1.7111,1.9769325474981487
1.7057,1.9670845033731403
1.6989,1.9557229953296154
1.6908,1.9428473252193412
1.6813,1.928458228357104
1.6704,1.9125578817448723
1.6582,1.8951499108247092
1.6446,1.8762393947458418
1.6296,1.8558328701328695
1.6132,1.8339383333437698
1.5955,1.8105652412079427
1.5764,1.7857245102361952
1.5559,1.759428514296231
1.5341,1.7316910807488872
1.511,1.7025274850420886
1.4865,1.671954443761106
1.4607,1.6399901061354987
1.4336,1.6066540440047783
1.4052,1.5719672402465856
1.3755,1.5359520756728475
1.3446,1.4986323144011444
1.3124,1.4600330877102121
1.279,1.4201808763902177
1.2444,1.3791034916001443
1.2086,1.3368300542463456
1.1717,1.2933909728980064
1.1336,1.2488179202568874
1.0945,1.2031438082004744
1.0542,1.1564027614192076
1.0129,1.1086300896701662
0.9706,1.059862258671148
0.9273,1.0101368596606997
0.883,0.959492577651187
0.8379,0.9079691584035948
0.7918,0.8556073741541447
0.7449,0.8024489881244105
0.6972,0.7485367178480518
0.6487,0.6939141973485922
0.5995,0.6386259382042095
0.5496,0.5827172895367194
0.499,0.5262343969633733
0.4478,0.4692241605512075
0.396,0.41173419181505244
0.3438,0.3538127698014347
0.291,0.29550879630174687
0.2378,0.2368717502391483
0.1842,0.17795164127478225
0.1303,0.11879896267980794
0.076,0.05946464352073544
0.0215,2.065261295314258e-10
-0.0331,-0.059543312553365646
